variable,F1_solo,AUC_solo,leakage
sourceType,0.7705267460519553,0.8076518297128719,False
destinationLocation,0.5813130869326226,0.8034561278111492,False
sourceID,0.5271443768055937,0.9271031146154174,False
value,0.5130603195780766,0.8724976692320234,False
accessedNodeAddress,0.5106954970444418,0.8283446764241214,False
destinationServiceAddress,0.5106366868966503,0.8276990387907419,False
destinationServiceType,0.4825617046499124,0.7984713465925212,False
sourceLocation,0.4742078064029667,0.8204393650586649,False
accessedNodeType,0.4307639759829621,0.7282405174266293,False
sourceAddress,0.3895833330306987,0.8333079031579261,False
operation,0.26598960265773386,0.5649544209392049,False
